model,pc,step,aic,bic,loglik,icc,var_u,var_eps,lrt_vs_null,p_lrt,beta_L2,beta_Male,p_L2,p_Male,r2m,r2c,lrt_vs_main,beta_L2xMale,p_L2xMale,lrt_vs_full
XLSR_L4,PC2,full,19235.52,19277.65,-9611.76,,,,,0.946847,,,,,0.0115,0.0209,0.004,0.0063,0.946846,
XLSR_L4,PC2,extended,11093.47,11149.63,-5538.7327,,,,,,,,,,0.6255,0.6356,,,,8146.055
XLSR_L4,PC3,null,18303.95,18325.01,-9148.9727,0.0109,0.0059,0.5322,,,,,,,,,,,,
XLSR_L4,PC3,main,18307.6,18342.71,-9148.8007,,,,0.344,0.841995,-0.0085,-0.0264,0.857077,0.574082,0.009,0.0196,,,,
XLSR_L4,PC3,full,18306.27,18348.4,-9147.1364,,,,,0.068085,,,,,0.0091,0.0176,3.329,0.1644,0.056537,
XLSR_L4,PC3,extended,10747.63,10803.8,-5365.8137,,,,,,,,,,0.5977,0.6081,,,,7562.645
XLSR_L4,PC4,null,11276.51,11297.57,-5635.2551,0.1097,0.0279,0.2265,,,,,,,,,,,,
XLSR_L4,PC4,main,11263.78,11298.89,-5626.8905,,,,16.729,0.000233,0.0501,-0.2262,0.411964,0.000215,0.1028,0.1453,,,,
XLSR_L4,PC4,full,11265.78,11307.91,-5626.8904,,,,,0.986085,,,,,0.1028,0.1453,0.0,0.0021,0.986085,
XLSR_L4,PC4,extended,6763.09,6819.26,-3373.5459,,,,,,,,,,0.4622,0.5059,,,,4506.689
XLSR_L4,PC5,null,13660.2,13681.27,-6827.1025,0.0524,0.0168,0.3026,,,,,,,,,,,,
XLSR_L4,PC5,main,13657.46,13692.57,-6823.7307,,,,6.744,0.034328,-0.0061,0.141,0.921969,0.023534,0.0484,0.0834,,,,
XLSR_L4,PC5,full,13658.88,13701.01,-6823.4416,,,,,0.447039,,,,,0.0485,0.0823,0.578,-0.094,0.443496,
XLSR_L4,PC5,extended,12435.27,12491.44,-6209.6362,,,,,,,,,,0.1754,0.2099,,,,1227.611
XLSR_L12,PC1,null,14165.87,14186.93,-7079.9344,0.0193,0.0063,0.3224,,,,,,,,,,,,
XLSR_L12,PC1,main,14166.73,14201.83,-7078.3639,,,,3.141,0.207944,0.0726,0.0135,0.095576,0.756254,0.0171,0.0328,,,,
XLSR_L12,PC1,full,14168.41,14210.54,-7078.2058,,,,,0.573955,,,,,0.0171,0.0325,0.316,0.0488,0.572305,
XLSR_L12,PC1,extended,11589.85,11646.02,-5786.9245,,,,,,,,,,0.277,0.2937,,,,2582.563
XLSR_L12,PC2,null,18734.55,18755.61,-9364.2738,0.0066,0.0037,0.5612,,,,,,,,,,,,
XLSR_L12,PC2,main,18738.18,18773.29,-9364.0911,,,,0.366,0.832974,0.0068,0.0227,0.8634,0.565279,0.0049,0.0113,,,,
XLSR_L12,PC2,full,18740.16,18782.29,-9364.0814,,,,,0.889468,,,,,0.0049,0.0113,0.019,0.011,0.889436,
XLSR_L12,PC2,extended,15283.3,15339.47,-7633.651,,,,,,,,,,0.3434,0.3512,,,,3460.861
XLSR_L12,PC3,null,7617.53,7638.59,-3805.7649,0.0151,0.0022,0.1462,,,,,,,,,,,,
XLSR_L12,PC3,main,7621.15,7656.26,-3805.5767,,,,0.377,0.828401,0.008,0.0173,0.777262,0.541449,0.0129,0.0274,,,,
XLSR_L12,PC3,full,7622.8,7664.92,-3805.399,,,,,0.551068,,,,,0.0129,0.0271,0.355,0.0336,0.549213,
XLSR_L12,PC3,extended,7216.58,7272.75,-3600.2886,,,,,,,,,,0.0601,0.0744,,,,410.221
XLSR_L12,PC4,null,13757.13,13778.2,-6875.5662,0.0145,0.0045,0.3071,,,,,,,,,,,,
XLSR_L12,PC4,main,13760.6,13795.71,-6875.3014,,,,0.53,0.767308,-0.029,-0.0127,0.470015,0.751536,0.0124,0.0263,,,,
XLSR_L12,PC4,full,13760.37,13802.5,-6874.1849,,,,,0.135088,,,,,0.0125,0.0246,2.233,0.1166,0.123764,
XLSR_L12,PC4,extended,12127.59,12183.75,-6055.7928,,,,,,,,,,0.1881,0.2005,,,,1636.784
XLSR_L12,PC5,null,20834.44,20855.5,-10414.2208,0.0118,0.0086,0.7225,,,,,,,,,,,,
XLSR_L12,PC5,main,20835.6,20870.71,-10412.8017,,,,2.838,0.241914,0.0028,-0.074,0.95826,0.162185,0.0099,0.0196,,,,
XLSR_L12,PC5,full,20837.47,20879.6,-10412.7351,,,,,0.715277,,,,,0.0099,0.0195,0.133,-0.0385,0.714747,
XLSR_L12,PC5,extended,17147.55,17203.72,-8565.7768,,,,,,,,,,0.3636,0.3741,,,,3693.917
XLSR_L20,PC1,null,16335.84,16356.9,-8164.9201,0.0983,0.0455,0.4175,,,,,,,,,,,,
XLSR_L20,PC1,main,16317.65,16352.75,-8153.8231,,,,22.194,1.5e-05,0.0262,0.3729,0.698789,0.0,0.0933,0.1217,,,,
XLSR_L20,PC1,full,16319.41,16361.53,-8153.7026,,,,,0.623437,,,,,0.0934,0.1214,0.241,-0.0663,0.622338,
XLSR_L20,PC1,extended,16183.61,16239.78,-8083.8071,,,,,,,,,,0.1081,0.1362,,,,139.791
XLSR_L20,PC2,null,24531.35,24552.42,-12262.6763,0.005,0.0056,1.1312,,,,,,,,,,,,
XLSR_L20,PC2,main,24523.41,24558.52,-12256.7054,,,,11.942,0.002552,-0.0996,0.0363,0.007673,0.332028,0.004,0.0056,,,,
XLSR_L20,PC2,full,24523.77,24565.9,-12255.8863,,,,,0.200561,,,,,0.0041,0.0054,1.638,0.0936,0.190891,
XLSR_L20,PC2,extended,16975.38,17031.54,-8479.6881,,,,,,,,,,0.5995,0.6022,,,,7552.396
XLSR_L20,PC3,null,19223.83,19244.9,-9608.9168,0.329,0.2892,0.5899,,,,,,,,,,,,
XLSR_L20,PC3,main,19196.65,19231.76,-9593.3267,,,,31.18,0.0,-0.1586,0.869,0.234968,0.0,0.3079,0.3668,,,,
XLSR_L20,PC3,full,19198.49,19240.61,-9593.2426,,,,,0.681796,,,,,0.308,0.3665,0.168,0.1093,0.681116,
XLSR_L20,PC3,extended,18386.47,18442.64,-9185.2374,,,,,,,,,,0.3674,0.4267,,,,816.01
XLSR_L20,PC4,null,21422.71,21443.78,-10708.3573,0.0357,0.0287,0.7739,,,,,,,,,,,,
XLSR_L20,PC4,main,21419.51,21454.61,-10704.753,,,,7.209,0.027207,-0.109,0.1121,0.179572,0.167678,0.033,0.0563,,,,
XLSR_L20,PC4,full,21417.76,21459.89,-10702.8815,,,,,0.053031,,,,,0.0332,0.052,3.743,0.2995,0.041912,
XLSR_L20,PC4,extended,7506.01,7562.17,-3745.0031,,,,,,,,,,0.8036,0.8251,,,,13915.757
XLSR_L20,PC5,null,16612.21,16633.27,-8303.1046,0.2211,0.1223,0.4308,,,,,,,,,,,,
XLSR_L20,PC5,main,16587.36,16622.47,-8288.6804,,,,28.848,1e-06,-0.1506,0.522,0.103398,0.0,0.2093,0.2543,,,,
XLSR_L20,PC5,full,16589.19,16631.31,-8288.5945,,,,,0.678525,,,,,0.2094,0.254,0.172,0.0765,0.677864,
XLSR_L20,PC5,extended,14252.81,14308.98,-7118.4052,,,,,,,,,,0.3938,0.4384,,,,2340.379
