,i,e,ɛ,a,ɑ,o,u,y,ø,ə
i,5.960464477539063e-08,0.1786651611328125,0.43297386169433594,0.560272216796875,0.4232936501502991,0.1529378890991211,0.41687071323394775,0.2107914686203003,0.1550501585006714,0.3103545904159546
e,0.1786651611328125,0.0,0.08615273237228394,0.16692566871643066,0.07238966226577759,0.021862804889678955,0.10206055641174316,0.027576863765716553,0.027954816818237305,0.02455317974090576
ɛ,0.43297386169433594,0.08615273237228394,1.1920928955078125e-07,0.017986536026000977,0.008655250072479248,0.17189109325408936,0.008468806743621826,0.05352127552032471,0.1834111213684082,0.028087854385375977
a,0.560272216796875,0.16692566871643066,0.017986536026000977,0.0,0.03013509511947632,0.27941322326660156,0.016498088836669922,0.10720539093017578,0.29496586322784424,0.07924222946166992
ɑ,0.4232936501502991,0.07238966226577759,0.008655250072479248,0.03013509511947632,1.1920928955078125e-07,0.14554202556610107,0.02433878183364868,0.057559192180633545,0.15346896648406982,0.0177648663520813
o,0.1529378890991211,0.021862804889678955,0.17189109325408936,0.27941322326660156,0.14554202556610107,0.0,0.20326018333435059,0.08815574645996094,0.003846108913421631,0.06990921497344971
u,0.41687071323394775,0.10206055641174316,0.008468806743621826,0.016498088836669922,0.02433878183364868,0.20326018333435059,-2.384185791015625e-07,0.04502588510513306,0.21819162368774414,0.04764139652252197
y,0.2107914686203003,0.027576863765716553,0.05352127552032471,0.10720539093017578,0.057559192180633545,0.08815574645996094,0.04502588510513306,5.960464477539063e-08,0.09935963153839111,0.032782554626464844
ø,0.1550501585006714,0.027954816818237305,0.1834111213684082,0.29496586322784424,0.15346896648406982,0.003846108913421631,0.21819162368774414,0.09935963153839111,5.960464477539063e-08,0.0785527229309082
ə,0.3103545904159546,0.02455317974090576,0.028087854385375977,0.07924222946166992,0.0177648663520813,0.06990921497344971,0.04764139652252197,0.032782554626464844,0.0785527229309082,-1.1920928955078125e-07
