,i,e,ɛ,a,ɑ,o,u,y,ø,ə
i,0.0,0.1865437626838684,0.2606480121612549,0.4285743236541748,0.472537636756897,0.29128026962280273,0.26017510890960693,0.17554891109466553,0.25356125831604004,0.3798677921295166
e,0.1865437626838684,-1.1920928955078125e-07,0.053124070167541504,0.23389941453933716,0.31098973751068115,0.20450663566589355,0.2927473187446594,0.15528982877731323,0.08718585968017578,0.23444366455078125
ɛ,0.2606480121612549,0.053124070167541504,-2.384185791015625e-07,0.16926062107086182,0.27907705307006836,0.28119438886642456,0.36691588163375854,0.24673384428024292,0.1493915319442749,0.21050399541854858
a,0.4285743236541748,0.23389941453933716,0.16926062107086182,2.384185791015625e-07,0.08154487609863281,0.2431480884552002,0.304715633392334,0.34619390964508057,0.24094414710998535,0.13261401653289795
ɑ,0.472537636756897,0.31098973751068115,0.27907705307006836,0.08154487609863281,5.960464477539063e-08,0.20781004428863525,0.25247037410736084,0.3886459469795227,0.28749173879623413,0.2757221460342407
o,0.29128026962280273,0.20450663566589355,0.28119438886642456,0.2431480884552002,0.20781004428863525,-1.1920928955078125e-07,0.11007845401763916,0.16018885374069214,0.1283644437789917,0.31088972091674805
u,0.26017510890960693,0.2927473187446594,0.36691588163375854,0.304715633392334,0.25247037410736084,0.11007845401763916,-1.1920928955078125e-07,0.14768970012664795,0.20667660236358643,0.33839911222457886
y,0.17554891109466553,0.15528982877731323,0.24673384428024292,0.34619390964508057,0.3886459469795227,0.16018885374069214,0.14768970012664795,0.0,0.08722513914108276,0.27529239654541016
ø,0.25356125831604004,0.08718585968017578,0.1493915319442749,0.24094414710998535,0.28749173879623413,0.1283644437789917,0.20667660236358643,0.08722513914108276,1.1920928955078125e-07,0.2094746232032776
ə,0.3798677921295166,0.23444366455078125,0.21050399541854858,0.13261401653289795,0.2757221460342407,0.31088972091674805,0.33839911222457886,0.27529239654541016,0.2094746232032776,1.7881393432617188e-07
