,i,e,ɛ,a,ɑ,o,u,y,ø,ə
i,5.960464477539063e-08,0.20446902513504028,0.2534114122390747,0.3350611925125122,0.4614894986152649,0.35269880294799805,0.2333451509475708,0.18462014198303223,0.2523242235183716,0.32438844442367554
e,0.20446902513504028,0.0,0.10039383172988892,0.23898792266845703,0.34516918659210205,0.28983402252197266,0.29505646228790283,0.19882595539093018,0.12535321712493896,0.25865763425827026
ɛ,0.2534114122390747,0.10039383172988892,1.1920928955078125e-07,0.16987347602844238,0.3045196533203125,0.3552229404449463,0.3251655697822571,0.2568134069442749,0.16861867904663086,0.22239911556243896
a,0.3350611925125122,0.23898792266845703,0.16987347602844238,0.0,0.11974102258682251,0.3073253631591797,0.2647836208343506,0.3285318613052368,0.23605215549468994,0.13044095039367676
ɑ,0.4614894986152649,0.34516918659210205,0.3045196533203125,0.11974102258682251,0.0,0.3028644323348999,0.2864511013031006,0.4201761484146118,0.3087047338485718,0.31757527589797974
o,0.35269880294799805,0.28983402252197266,0.3552229404449463,0.3073253631591797,0.3028644323348999,0.0,0.18720024824142456,0.24876642227172852,0.21516168117523193,0.373333215713501
u,0.2333451509475708,0.29505646228790283,0.3251655697822571,0.2647836208343506,0.2864511013031006,0.18720024824142456,-1.1920928955078125e-07,0.13250231742858887,0.205652117729187,0.3030925393104553
y,0.18462014198303223,0.19882595539093018,0.2568134069442749,0.3285318613052368,0.4201761484146118,0.24876642227172852,0.13250231742858887,0.0,0.11259627342224121,0.2782696485519409
ø,0.2523242235183716,0.12535321712493896,0.16861867904663086,0.23605215549468994,0.3087047338485718,0.21516168117523193,0.205652117729187,0.11259627342224121,1.1920928955078125e-07,0.20395910739898682
ə,0.32438844442367554,0.25865763425827026,0.22239911556243896,0.13044095039367676,0.31757527589797974,0.373333215713501,0.3030925393104553,0.2782696485519409,0.20395910739898682,0.0
